code,pubDate,statDate,currentRatio,quickRatio,cashRatio,YOYLiability,liabilityToAsset,assetToEquity
sz.000530,2019-10-26,2019-09-30,1.335457,1.056213,0.144144,-0.011963,0.384217,1.623949
sz.000531,2019-10-29,2019-09-30,0.578623,0.425748,0.318111,-0.096364,0.538811,2.168310
sz.000532,2019-10-25,2019-09-30,0.529695,0.449910,0.271735,-0.009081,0.625059,2.667087
sz.000533,2019-10-30,2019-09-30,1.455496,1.269260,0.212227,-0.053191,0.632607,2.721879
sz.000534,2019-10-28,2019-09-30,1.703158,1.589445,0.221716,-0.154041,0.480229,1.923924
sz.000536,2019-10-30,2019-09-30,0.550748,0.485214,0.440409,-0.120846,0.627627,2.685477
sz.000537,2019-10-31,2019-09-30,1.420347,0.200940,0.137615,-0.123810,0.832300,5.963037
sz.000538,2019-10-29,2019-09-30,3.848266,2.727530,1.135183,0.204104,0.240345,1.316386
sz.000539,2019-10-31,2019-09-30,0.663002,0.561385,0.307513,-0.024867,0.550742,2.225895
sz.000540,2019-10-25,2019-09-30,1.873865,0.944937,0.104799,0.696317,0.820104,5.558763
sz.000541,2019-10-30,2019-09-30,3.248485,2.630931,0.984751,-0.130297,0.202148,1.253365
sz.000543,2019-10-31,2019-09-30,0.481955,0.418048,0.146768,0.185070,0.455190,1.835502
sz.000544,2019-10-26,2019-09-30,2.398488,2.367114,1.385382,1.249664,0.402979,1.674983
sz.000545,2019-10-30,2019-09-30,1.278699,1.010655,0.231918,0.095095,0.344036,1.524475
sz.000546,2019-10-25,2019-09-30,0.987388,0.571370,0.177794,0.082745,0.474878,1.904319
sz.000547,2019-10-25,2019-09-30,2.251278,1.879862,0.338255,0.363802,0.257626,1.347029
sz.000548,2019-10-31,2019-09-30,2.042278,1.030993,0.744615,0.393052,0.260140,1.351608
sz.000550,2019-10-23,2019-09-30,1.172481,0.996408,0.656997,0.125256,0.539953,2.173689
sz.000551,2019-10-29,2019-09-30,1.451031,0.991022,0.421738,0.008964,0.470054,1.886985
sz.000552,2019-10-31,2019-09-30,2.481317,2.248392,1.088837,-0.129429,0.231432,1.301121
sz.000553,2019-10-31,2019-09-30,2.303794,1.367019,0.408218,0.129658,0.495685,1.982888
sz.000554,2019-10-30,2019-09-30,0.802966,0.231322,0.160277,0.115268,0.339026,1.512918
