ts_code,symbol,name,area,industry,list_date,peTTM,pbMRQ,psTTM,pcfNcfTTM
002309.SZ,002309,中利集团,江苏,电气设备,20091127,122.726485,0.744450,0.535486,-14.491330
002310.SZ,002310,东方园林,北京,建筑工程,20091127,267.424062,1.405734,2.120464,-84.424998
002311.SZ,002311,海大集团,广东,饲料,20091127,36.307710,6.763186,1.257372,-105.266112
002312.SZ,002312,三泰控股,四川,化工原料,20091203,-39.366963,2.027693,8.335735,11.834146
002313.SZ,002313,日海智能,深圳,通信设备,20091203,75.979352,2.849503,1.267271,-53.189173
002314.SZ,002314,南山控股,深圳,区域地产,20091203,18.865674,0.912658,1.028378,28.382994
002315.SZ,002315,焦点科技,江苏,互联网,20091209,33.097024,2.514933,4.946256,-116.958414
002316.SZ,002316,亚联发展,深圳,软件服务,20091209,-20.643404,3.331407,0.723938,-53.767579
002317.SZ,002317,众生药业,广东,中成药,20091211,31.915809,2.484861,4.021607,-210.798163
002318.SZ,002318,久立特材,浙江,特种钢,20091211,12.945138,2.073060,1.432825,313.396640
002319.SZ,002319,乐通股份,广东,染料涂料,20091211,-4.913631,3.384490,3.698821,-53.421608
002320.SZ,002320,海峡股份,海南,水运,20091216,74.939244,4.334176,14.794741,65.743344
002321.SZ,002321,华英农业,河南,农业综合,20091216,43.029992,0.998723,0.477468,-2.402469
002322.SZ,002322,理工环科,浙江,软件服务,20091218,16.476997,1.815098,5.090956,-62.735481
002323.SZ,002323,ST百特,江苏,建筑工程,20091218,-6.617085,5.245127,17.963348,-2114.622614
002324.SZ,002324,普利特,上海,塑料,20091218,58.617841,4.041787,2.684825,751.198251
002325.SZ,002325,洪涛股份,深圳,装修装饰,20091222,89.217119,1.192753,0.948229,-8.568321
002326.SZ,002326,永太科技,浙江,化工原料,20091222,36.707442,3.418869,3.179791,-276.315106
002327.SZ,002327,富安娜,深圳,纺织,20091230,11.425111,1.750932,2.010732,41.097529
002328.SZ,002328,新朋股份,上海,汽车配件,20091230,40.297674,1.737361,1.219913,321.093558
002329.SZ,002329,皇氏集团,广西,乳制品,20100106,101.042517,1.985182,1.879634,164.271011
002330.SZ,002330,得利斯,山东,食品,20100106,413.107704,2.352914,1.340662,327.991604
002331.SZ,002331,皖通科技,安徽,软件服务,20100106,25.973131,2.103109,3.040496,19.792541
002332.SZ,002332,仙琚制药,浙江,生物制药,20100112,29.967787,4.314536,3.285204,-207.432361
002333.SZ,002333,*ST罗普,江苏,铝,20100112,41.649667,1.637051,2.889424,15.525897
002334.SZ,002334,英威腾,深圳,电气设备,20100113,-2520.842205,2.148459,1.777597,-155.154112
002335.SZ,002335,科华恒盛,福建,电气设备,20100113,72.561657,2.238525,1.851208,-38.668774
002336.SZ,002336,*ST人乐,深圳,超市连锁,20100113,63.776804,1.774805,0.304796,-30.519036
002337.SZ,002337,赛象科技,天津,化工机械,20100115,223.539556,1.897088,4.299761,-11.464941
002338.SZ,002338,奥普光电,吉林,电器仪表,20100115,81.549351,4.807036,9.944804,127.598311
002339.SZ,002339,积成电子,山东,电气设备,20100122,80.847333,2.380440,2.220426,-45.553721
002340.SZ,002340,格林美,深圳,小金属,20100122,26.992648,1.942011,1.397388,-25.814044
002341.SZ,002341,新纶科技,深圳,化工原料,20100122,735.494117,1.472099,2.305550,-18.240872
002342.SZ,002342,巨力索具,河北,机械基件,20100126,183.831660,1.402594,1.734146,-381.417262
002343.SZ,002343,慈文传媒,浙江,影视音像,20100126,-3.343950,2.669480,4.372551,-39.974557
002344.SZ,002344,海宁皮城,浙江,商品城,20100126,18.348707,0.655256,3.541782,20.612162
002345.SZ,002345,潮宏基,广东,服饰,20100128,39.059532,0.914471,0.910015,-52.028512
002346.SZ,002346,柘中股份,上海,电气设备,20100128,52.569608,2.289711,9.389564,-86.118276
002347.SZ,002347,泰尔股份,安徽,机械基件,20100128,74.500321,1.801267,2.513533,59.144885
002348.SZ,002348,高乐股份,广东,文教休闲,20100203,131.477397,2.217479,3.729674,-71.035225
002349.SZ,002349,精华制药,江苏,中成药,20100203,-19.451094,2.543443,4.296974,37.331152
002350.SZ,002350,北京科锐,北京,电气设备,20100203,42.813200,1.991396,1.444020,-17.200025
002351.SZ,002351,漫步者,深圳,IT设备,20100205,79.970028,5.376580,7.910555,1164.611046
002352.SZ,002352,顺丰控股,深圳,仓储物流,20100205,35.480471,4.937789,1.833109,83.427175
002353.SZ,002353,杰瑞股份,山东,化工机械,20100205,16.672999,2.455569,3.287178,586.100257
002354.SZ,002354,天神娱乐,辽宁,互联网,20100209,-1.919885,1.388844,1.670054,-9.996400
002355.SZ,002355,兴民智通,山东,汽车配件,20100209,-13.352822,1.430348,2.139378,-7.027618
002356.SZ,002356,*ST赫美,深圳,其他商业,20100209,-0.521368,-3.532933,0.933610,3.549750
002357.SZ,002357,富临运业,四川,公路,20100210,24.658026,1.736609,2.304403,-92.190249
002358.SZ,002358,森源电气,河南,电气设备,20100210,671.494240,1.340184,4.123293,168.777800
002359.SZ,002359,*ST北讯,深圳,通信设备,20100210,-0.868932,0.512646,7.532900,-41.502554
002360.SZ,002360,同德化工,山西,化工原料,20100303,14.138646,2.008589,2.188453,30.041193
002361.SZ,002361,神剑股份,安徽,化工原料,20100303,27.430904,1.976930,1.702606,-42.143761
002362.SZ,002362,汉王科技,北京,IT设备,20100303,102.175700,4.267192,3.466619,222.925854
002363.SZ,002363,隆基机械,山东,汽车配件,20100305,57.524964,1.697346,2.464864,33.213122
002364.SZ,002364,中恒电气,浙江,电气设备,20100305,171.173808,4.033124,8.337826,-26.319885
002365.SZ,002365,永安药业,湖北,化学制药,20100305,37.579761,2.074758,2.434108,-79.736115
002366.SZ,002366,台海核电,四川,专用机械,20100312,-16.787613,1.472651,6.002132,-40.946350
002367.SZ,002367,康力电梯,江苏,运输设备,20100312,28.927989,2.521828,2.014203,31.183538
002368.SZ,002368,太极股份,北京,软件服务,20100312,50.175610,5.945380,2.390386,384.283249
002369.SZ,002369,卓翼科技,深圳,通信设备,20100316,128.996028,3.437612,2.042574,38.581603
002370.SZ,002370,亚太药业,浙江,化学制药,20100316,-1.377154,6.651915,4.016484,4.463626
002371.SZ,002371,北方华创,北京,专用机械,20100316,203.712119,16.830703,15.524582,-105.512985
002372.SZ,002372,伟星新材,浙江,其他建材,20100318,17.592894,4.973886,3.787626,31.782795
002373.SZ,002373,千方科技,北京,软件服务,20100318,33.888002,3.983615,3.782291,-117.637504
002374.SZ,002374,丽鹏股份,山东,建筑工程,20100318,67.427641,0.982930,2.039051,27.392737
002375.SZ,002375,亚厦股份,浙江,装修装饰,20100323,20.141395,1.089988,0.803998,22.521487
002376.SZ,002376,新北洋,山东,IT设备,20100323,22.536347,2.277982,3.029459,-200.222963
002377.SZ,002377,国创高新,湖北,房产服务,20100323,12.496730,0.737021,0.758637,-46.415140
002378.SZ,002378,章源钨业,江西,小金属,20100331,-13.531832,2.107891,2.143818,19.994482
002379.SZ,002379,宏创控股,山东,铝,20100331,10.103574,2.069696,1.139384,78.874342
